,cg_date_time,wattmeter_wattage,pre_wattage,pre_pre_wattage
282,2022-04-28 10:30:01.612,2649.9,2604.63,2590.11
283,2022-04-28 10:30:11.940,2649.97,2604.63,2590.11
284,2022-04-28 10:30:22.238,2650.04,2604.63,2590.11
285,2022-04-28 10:30:32.582,2650.11,2604.63,2590.11
286,2022-04-28 10:30:42.879,2650.18,2604.63,2590.11
287,2022-04-28 10:30:53.177,2650.25,2604.63,2590.11
288,2022-04-28 10:31:03.521,2650.32,2604.63,2590.11
289,2022-04-28 10:31:13.787,2650.39,2604.63,2590.11
290,2022-04-28 10:31:24.131,2650.46,2604.63,2590.11
291,2022-04-28 10:31:34.444,2650.53,2604.63,2590.11
292,2022-04-28 10:31:44.757,2650.59,2604.63,2590.11
293,2022-04-28 10:31:55.039,2650.67,2604.63,2590.11
294,2022-04-28 10:32:05.305,2650.73,2604.63,2590.11
295,2022-04-28 10:32:15.680,2650.8,2604.63,2590.11
296,2022-04-28 10:32:26.025,2650.88,2604.63,2590.11
297,2022-04-28 10:32:36.291,2650.94,2604.63,2590.11
298,2022-04-28 10:32:46.573,2651.01,2604.63,2590.11
299,2022-04-28 10:32:56.948,2651.09,2604.63,2590.11
300,2022-04-28 10:33:07.261,2651.15,2604.63,2590.11
301,2022-04-28 10:33:17.543,2651.22,2604.63,2590.11
302,2022-04-28 10:33:27.903,2651.3,2604.63,2590.11
303,2022-04-28 10:33:38.200,2651.36,2604.63,2590.11
304,2022-04-28 10:33:48.513,2651.43,2604.63,2590.11
305,2022-04-28 10:33:58.826,2651.5,2604.63,2590.11
306,2022-04-28 10:34:09.139,2651.57,2604.63,2590.11
307,2022-04-28 10:34:19.452,2651.64,2604.63,2590.11
308,2022-04-28 10:34:29.765,2651.71,2604.63,2590.11
309,2022-04-28 10:34:40.078,2651.78,2604.63,2590.11
310,2022-04-28 10:34:50.391,2651.85,2604.63,2590.11
311,2022-04-28 10:35:00.851,2651.92,2604.63,2590.11
312,2022-04-28 10:35:10.999,2651.99,2604.63,2590.11
313,2022-04-28 10:35:21.094,2652.01,2604.63,2590.11
314,2022-04-28 10:35:31.094,2652.01,2604.63,2590.11
315,2022-04-28 10:35:42.095,2652.01,2604.63,2590.11
316,2022-04-28 10:35:52.095,2652.01,2604.63,2590.11
317,2022-04-28 10:36:02.095,2652.01,2604.63,2590.11
318,2022-04-28 10:36:12.096,2652.01,2604.63,2590.11
319,2022-04-28 10:36:22.112,2652.01,2604.63,2590.11
320,2022-04-28 10:36:33.097,2652.01,2604.63,2590.11
321,2022-04-28 10:36:43.097,2652.01,2604.63,2590.11
322,2022-04-28 10:36:53.098,2652.01,2604.63,2590.11
323,2022-04-28 10:37:03.098,2652.01,2604.63,2590.11
324,2022-04-28 10:37:13.099,2652.01,2604.63,2590.11
325,2022-04-28 10:37:23.099,2652.01,2604.63,2590.11
326,2022-04-28 10:37:33.100,2652.01,2604.63,2590.11
327,2022-04-28 10:37:44.085,2652.01,2604.63,2590.11
328,2022-04-28 10:37:54.101,2652.01,2604.63,2590.11
329,2022-04-28 10:38:05.086,2652.01,2604.63,2590.11
330,2022-04-28 10:38:15.102,2652.01,2604.63,2590.11
331,2022-04-28 10:38:26.087,2652.01,2604.63,2590.11
332,2022-04-28 10:38:36.087,2652.01,2604.63,2590.11
333,2022-04-28 10:38:46.088,2652.01,2604.63,2590.11
334,2022-04-28 10:38:56.088,2652.01,2604.63,2590.11
335,2022-04-28 10:39:06.089,2652.01,2604.63,2590.11
336,2022-04-28 10:39:16.089,2652.01,2604.63,2590.11
337,2022-04-28 10:39:26.090,2652.01,2604.63,2590.11
338,2022-04-28 10:39:36.090,2652.01,2604.63,2590.11
339,2022-04-28 10:39:46.091,2652.01,2604.63,2590.11
340,2022-04-28 10:39:56.091,2652.01,2604.63,2590.11
341,2022-04-28 10:40:06.091,2652.01,2604.63,2590.11
342,2022-04-28 10:40:16.092,2652.01,2604.63,2590.11
343,2022-04-28 10:40:26.092,2652.01,2604.63,2590.11
344,2022-04-28 10:40:36.093,2652.01,2604.63,2590.11
345,2022-04-28 10:40:46.093,2652.01,2604.63,2590.11
346,2022-04-28 10:40:56.094,2652.01,2604.63,2590.11
347,2022-04-28 10:41:06.094,2652.01,2604.63,2590.11
348,2022-04-28 10:41:16.095,2652.01,2604.63,2590.11
